Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Maybrat,31.14,30.28,-
Manokwari Selatan,28.55,27.8,26.83
Pegunungan Arfak,33.71,32.29,31.76
Kota Sorong,14.96,14.41,-
PAPUA BARAT DAYA,-,-,18.13
Raja Ampat,-,-,15.83
Sorong,-,-,25.71
Sorong Selatan,-,-,17.83
Maybrat,-,-,29.18
Tambrauw,-,-,29.88
Kota Sorong,-,-,13.67
PAPUA,26.56,26.03,17.26
Merauke,10.1,10.01,-
Jayawijaya,35.8,34.71,-
Jayapura,11.94,11.45,11.6
Nabire,23.9,23.35,-
Kepulauan Yapen,26.15,25.89,25.69
Biak Numfor,24.48,23.53,23.46
Paniai,36.63,35.39,-
Puncak Jaya,36.3,35.6,-
Mimika,14.28,13.55,-
Boven Digoel,20.04,19.8,-
Mappi,26.04,25.72,-
Asmat,24.87,24.36,-
Yahukimo,36.21,36.08,-
Pegunungan Bintang,30.32,29.79,-
Tolikara,31.31,31.57,-
Sarmi,13.76,13.21,14.05
Keerom,15.77,15.68,15.84
Waropen,30.22,29.16,29.85
Supiori,37.7,36.99,37.72
Mamberamo Raya,30.73,29.63,30.29
Nduga *,36.73,37.09,-
Lanny Jaya,37.76,36.94,-
Mamberamo Tengah,35.92,35.42,-
Yalimo,31.68,30.97,-
Puncak,36.25,36.44,-
Dogiyai,29.48,29.2,-
Intan Jaya,42.03,40.01,-
Deiyai,40.31,38.66,-
Kota Jayapura,11.12,10.5,10.72
PAPUA SELATAN,-,-,17.44
Merauke,-,-,10.19
Boven Digoel,-,-,19.24
Mappi,-,-,25.7
Asmat,-,-,24.5
PAPUA TENGAH,-,-,29.76
Mimika,-,-,14.18
Dogiyai,-,-,30.03
Deiyai,-,-,39.01
Nabire,-,-,24
Paniai,-,-,37.07
Intan Jaya,-,-,41.42
Puncak,-,-,37.49
Puncak Jaya,-,-,35.94
PAPUA PEGUNUNGAN,-,-,32.97
Nduga,-,-,36.28
Jayawijaya,-,-,32.28
Lanny Jaya,-,-,34.12
Tolikara,-,-,31.22
Mamberamo Tengah,-,-,35.27
Yalimo,-,-,30.02
Yahukimo,-,-,33.82
Pegunungan Bintang,-,-,28.95
