Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Luwu,2.36,1.86,1.97
Tana Toraja,3.38,1.54,1.98
Luwu Utara,2.9,2.63,2.68
Luwu Timur,1.28,1.38,1.13
Toraja Utara,3.66,2.13,2.44
Kota Makassar,1.03,0.75,0.76
Kota Parepare,0.75,0.45,0.88
Kota Palopo,1.64,1.49,1.61
SULAWESI TENGGARA,2.52,2.49,1.92
Buton,2.75,2.48,2.32
Muna,2.58,2.35,2.49
Konawe,3.43,2.76,1.82
Kolaka,2.55,3.89,3.52
Konawe Selatan,2.11,2,1.65
Bombana,2.41,2.73,1.91
Wakatobi,3.21,2.49,1.68
Kolaka Utara,2.34,3.6,2.57
Buton Utara,2.65,2.65,2.12
Konawe Utara,2.12,1.45,1.56
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,1.91,0.98,0.93
Kota Baubau,2.33,1.83,1.82
GORONTALO,2.77,3.67,3.21
Boalemo,3.49,3.27,3.92
Gorontalo,2.85,4.44,2.73
Pohuwato,3.46,3.6,3.16
Bone Bolango,3.41,3.1,2.76
Gorontalo Utara,3.13,3.35,3.27
Kota Gorontalo,0.87,0.98,0.56
SULAWESI BARAT,2.32,2.28,1.74
Majene,2.77,2.44,2.29
Polewali Mandar,2.81,2.97,2.63
Mamasa,2.22,1.93,2.13
Mamuju,2.15,1.07,0.95
Mamuju Utara,0.91,1.1,0.79
Mamuju Tengah,-,-,-
MALUKU,5.27,4.6,4.38
Maluku Tenggara Barat,7.41,4.43,4.16
Maluku Tenggara,5.71,5.65,6.24
Maluku Tengah,5.67,5.29,5.04
Buru,4.84,4.65,4.91
Kepulauan Aru,7.73,5.95,6.66
Seram Bagian Barat,6.13,5.35,5
Seram Bagian Timur,7.54,6.08,4.27
Maluku Barat Daya,6.95,7.18,5.17
Buru Selatan,6.82,2.47,2.56
Kota Ambon,1.1,0.9,0.73
Kota Tual,9.5,6.24,4.71
MALUKU UTARA,1.63,2.14,0.85
Halmahera Barat,2.54,1.74,1
Halmahera Tengah,4.22,3.92,3.07
Kepulauan Sula,1.04,1.54,1.47
Halmahera Selatan,1.43,0.78,0.94
Halmahera Utara,0.95,1.29,1.03
Halmahera Timur,5.43,3.89,2.71
Pulau Morotai,2.22,1.2,1.25
Pulau Taliabu,-,-,-
