Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
Sekadau,11688,12251,4478,4732
Melawi,14547,14930,4457,4630
Kayong Utara,11685,12204,5752,5965
Kubu Raya,14315,14890,5621,5876
Kota Pontianak,20650,21305,14429,14871
Kota Singkawang,17085,17563,10138,10414
KALIMANTAN TENGAH,16534,17068,8205,8464
Kotawaringin Barat,19443,20136,11829,11990
Kotawaringin Timur,18639,19337,8598,8901
Kapuas,13729,14316,10741,11029
Barito Selatan,16225,16752,10449,10522
Barito Utara,14754,15504,7231,7505
Sukamara,12189,12594,8171,8300
Lamandau,16320,17005,9596,9901
Seruyan,14738,15232,7547,7669
Katingan,16927,17422,6515,6606
Pulang Pisau,14213,14886,8289,8591
Gunung Mas,15568,16125,8539,8740
Barito Timur,17262,17650,8953,9214
Murung Raya,16751,17257,6167,6256
Kota Palangka Raya,19187,19720,14060,14368
KALIMANTAN SELATAN,18623,19193,9071,9380
Tanah Laut,17581,18312,8146,8458
Kotabaru,18569,18997,6722,6869
Banjar,18960,19580,11484,11784
Barito Kuala,14772,15512,8105,8496
Tapin,18465,19250,6708,7001
Hulu Sungai Selatan,19215,20057,8874,9255
Hulu Sungai Tengah,13757,14139,12077,12388
Hulu Sungai Utara,14483,15097,8843,9146
Tabalong,18704,19622,7063,7382
Tanah Bumbu,19543,20009,7440,7600
Balangan,16359,16692,11311,11501
Kota Banjarmasin,18657,19316,13742,14171
Kota Banjar Baru,20163,20702,13549,13866
KALIMANTAN TIMUR,19222,19882,7459,7757
Paser,18324,19013,3091,3213
Kutai Barat,16240,16882,6340,6667
Kutai Kartanegara,19097,19821,4900,5133
Kutai Timur,18319,19061,4123,4318
Berau,20169,20964,7913,8207
Penajam Paser Utara,17791,18478,7354,7681
Mahakam Ulu,13032,13626,4693,4966
Kota Balikpapan,23978,24830,11375,11873
Kota Samarinda,22004,22539,10455,10748
Kota Bontang,26768,27203,10020,10307
KALIMANTAN UTARA,13239,13703,6161,6384
Malinau,15283,15742,5443,5655
Bulungan,14802,15398,6600,6886
Tana Tidung,11912,12309,4058,4228
Nunukan,10797,11299,4605,4788
Kota Tarakan,16132,16675,10170,10425
SULAWESI UTARA,15555,15946,10296,10537
Bolaang Mongondow,15710,16085,6483,6656
Minahasa,15654,16083,11875,12147
Kepulauan Sangihe,15132,15490,9649,9898
Kepulauan Talaud,9499,9805,8372,8624
Minahasa Selatan,17105,17567,7337,7528
Minahasa Utara,14565,15036,10877,11157
Bolaang Mongondow Utara,15632,16120,5826,6027
