Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Boalemo,3.1,2.31,1.92
Gorontalo,2.6,2.63,2.2
Pohuwato,3.1,1.81,2.47
Bone Bolango,2.3,2.02,1.89
Gorontalo Utara,-,-,-
Kota Gorontalo,0.3,0.45,0.42
SULAWESI BARAT,-,-,0.93
Majene,0.97,1.76,0.89
Polewali Mandar,2.61,2.09,1.19
Mamasa,2.55,2.26,1.09
Mamuju,0.55,0.65,0.5
Mamuju Utara,0.49,0.86,0.56
Mamuju Tengah,-,-,-
MALUKU,1.82,1.57,2.6
Maluku Tenggara Barat,2.31,6.33,6.5
Maluku Tenggara,2.63,2.92,2.3
Maluku Tengah,2.06,2.94,3.3
Buru,2,1.18,1.58
Kepulauan Aru,-,1.78,2.52
Seram Bagian Barat,-,2.58,2.68
Seram Bagian Timur,-,2.95,3.24
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,-
Kota Tual,0.04,0.25,0.37
MALUKU UTARA,0.45,0.42,0.57
Halmahera Barat,0.41,1.26,1.24
Halmahera Tengah,0.3,3.82,1.54
Kepulauan Sula,1.36,0.55,0.47
Halmahera Selatan,0.47,0.7,0.35
Halmahera Utara,0.49,0.48,0.21
Halmahera Timur,1.57,1.1,1.73
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,0.11,0.13,0.12
Kota Tidore Kepulauan,0.75,0.1,0.39
PAPUA BARAT,-,-,2.62
Fakfak,1.83,4.4,2.62
Kaimana,2.96,-,1.91
Teluk Wondama,7.8,-,3.36
Teluk Bintuni,1.77,1.38,2.88
Manokwari,2.55,-,3.26
Sorong Selatan,2.58,-,1.51
Sorong,8.2,-,4.21
Raja Ampat,7.94,-,3.1
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,2.92,5.91,2.93
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,5.01,3.54,4.97
Merauke,2.52,-,3.76
Jayawijaya,3.78,3.64,5.28
Jayapura,1.95,3.42,1.57
Nabire,3.4,8.52,8.32
Kepulauan Yapen,4.61,-,6.69
Biak Numfor,4.35,4.86,8.29
Paniai,7.85,3.58,3.04
Puncak Jaya,5.8,11.62,7.93
Mimika,5.8,6.34,3.99
Boven Digoel,2.55,-,2.82
Mappi,2.75,1.84,1.63
Asmat,2.45,1.35,3.2
Yahukimo,3.87,2.34,6.57
Pegunungan Bintang,3.67,6.35,4.96
Tolikara,3.62,-,3.51
Sarmi,1.94,1.89,0.8
Keerom,1.89,2.65,1.97
Waropen,4.46,-,3.91
Supiori,-,-,5.25
Mamberamo Raya,-,-,-
Nduga *,-,-,-
Lanny Jaya,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Puncak,-,-,-
Dogiyai,-,-,-
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,1.54,1.74,1.34
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
