Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Kota Ternate,12643,12989,13166
Kota Tidore Kepulauan,7772,8044,8232
PAPUA BARAT,7175,7493,7816
Fakfak,6935,7057,7357
Kaimana,7538,7752,8071
Teluk Wondama,7434,7694,7927
Teluk Bintuni,9208,9463,9622
Manokwari,11440,11595,11789
Sorong Selatan,5644,5904,6062
Sorong,6563,6975,7240
Raja Ampat,7393,7508,7760
Tambrauw,4561,4626,4859
Maybrat,4692,4905,5168
Manokwari Selatan,4702,5012,5225
Pegunungan Arfak,4594,4683,4979
Kota Sorong,12858,13141,13484
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,6637,6996,7159
Merauke,10016,10277,10430
Jayawijaya,7282,7524,7637
Jayapura,9653,10055,10160
Nabire,8779,8983,9143
Kepulauan Yapen,7414,7605,7739
Biak Numfor,9647,9812,9969
Paniai,6191,6355,6535
Puncak Jaya,5089,5341,5459
Mimika,11169,11591,11700
Boven Digoel,7770,8048,8211
Mappi,5951,6143,6268
Asmat,5601,5771,5882
Yahukimo,4248,4554,4737
Pegunungan Bintang,5289,5506,5578
Tolikara,4711,4827,4946
Sarmi,6417,6723,6814
Keerom,8671,8824,8918
Waropen,6270,6810,6978
Supiori,5379,5655,5769
Mamberamo Raya,4387,4596,4755
Nduga,3725,3972,4131
Lanny Jaya,4106,4356,4517
Mamberamo Tengah,4219,4510,4609
Yalimo,4435,4702,4799
Puncak,5181,5413,5506
Dogiyai,5190,5375,5522
Intan Jaya,5038,5293,5440
Deiyai,4383,4597,4761
Kota Jayapura,14319,14781,14922
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
INDONESIA,10420,10664,11059
